name,units,price,change,perc_change,time_edt
Gold (Comex),USD/t oz,2310.6,1.0,0.04,8:38 PM
Gold (Tokyo),JPY/g,11363.0,-209.0,-1.8,8:28 PM
Gold Spot,USD/t oz,2302.6,-1.23,-0.05,8:48 PM
Gold/Euro Spot,EUR/t oz,2145.79,-0.3,-0.0,8:48 PM
Gold/British Pound Spot,GBP/t oz,1836.09,-1.83,-0.1,8:48 PM
Gold/Japanese Yen Spot,JPY/t oz,353075.31,-892.97,-0.25,8:48 PM
Gold/Indian Rupee Spot,INR/t oz,192181.13,143.59,0.07,8:48 PM
Silver (Comex),USD/t oz,26.88,0.05,0.19,8:38 PM
Silver (Tokyo),JPY/gram,134.0,-1.1,-0.8,12:00 AM
Silver Spot,USD/t oz,26.67,-0.01,-0.05,8:49 PM
Silver/Euro Spot,EUR/t oz,24.84,0.04,0.17,8:49 PM
Silver/British Pound Spot,GBP/t oz,21.26,-0.03,-0.13,8:48 PM
Silver/Japanese Yen Spot,JPY/t oz,4087.46,-12.2,-0.3,8:49 PM
Silver/Indian Rupee Spot,INR/t oz,2225.58,10.39,0.47,8:49 PM
Platinum Spot,USD/t oz,958.86,4.13,0.43,8:49 PM
Palladium Spot,USD/t oz,941.75,4.73,0.5,8:49 PM
Copper (Comex),USd/lb,450.3,1.85,0.4,8:38 PM
3Mo Copper (LME),USD/MT,9765.5,-130.0,-1.3,12:00 AM
3Mo Aluminum (LME),USD/MT,2528.0,-49.5,-1.9,12:00 AM
3Mo Zinc (LME),USD/MT,2886.0,5.0,0.17,12:00 AM
3Mo Tin (LME),USD/MT,30970.0,367.0,0.2,12:00 AM
